民宿标题,价格,地利,评论数,得分,适合居住人数
〖天隆寺简约温馨双床房〗靠近南京南/雨花客厅/新街口/夫子庙/奥体,176,近天隆寺地铁站,37,4.6,2
地铁口，55寸4k电视，整套独享6,142,近南京工业大学地铁站,8,5.0,2
夫子庙 瞻园 甘熙宅第 北欧风情海绵宝宝泡泡航海屋（7）,152,None,3,4.6,2
『后尘』阅江楼/狮子山/中山码头/近商圈ins风轻奢风温馨私享私人影院/投影设备落地窗观景,156,None,7,4.9,2
摩兜公寓(南京南站花神庙地铁站店)雨花台南京南站地区高级大床房,130,近花神庙地铁站,1492,4.9,2
《桃李》近地铁3号线、2号线近商圈轻奢风,255,None,1,5.0,2
摩兜公寓(南京夫子庙店)夫子庙地区高级大床房,275,近张府园地铁站,541,4.9,2
【呦曦】温馨大床房·新街口商圈·市中心双地铁,151,近新街口地铁站,3,4.9,2
【琳琅】·.近地铁/雨花台风景区/秦淮河/夫子庙/宜家家具/南站/loft两居4人,240,None,68,4.8,4
夫子庙三山街地铁口秦淮河畔温馨两居室,351,近三山街地铁站,79,4.9,5
南京南站十分钟地铁至新街口夫子庙loft,240,近明发广场地铁站,3,5.0,4
整套独享55寸4k电视房，十号线地铁口9,142,近南京工业大学地铁站,8,4.9,2
{南京站公寓} 已消毒 俯瞰玄武湖 毗邻南京国际会展中心 南京站 紫金山 南林大 地铁站等步行即可,219,None,4,4.8,2
十号线工大旁慕斯荟豪华舒适大床房,169,近南京工业大学地铁站,22,4.9,2
汉时风公寓式酒店(南京中海玺汉店)河西/万达广场/龙江地区温馨家庭套房,258,近莫愁湖地铁站,47,4.6,3
【留驻20】新街口地铁站/私人影院/投影设备/吊床球池/高层夜景,116,None,4,4.8,2
蓝调艺术设计克拉拉影院三床房近禄口机场,148,近空港新城江宁地铁站,10,5.0,4
(秦淮民俗)13 LOFT北欧风格公寓,126,近武定门地铁站,2,5.0,2
夫子庙、南京南雨花台都近的榻榻米房,148,近卡子门地铁站,45,4.8,4
家庭房 南京南站雨花客厅 今日已消毒,249,近天隆寺地铁站,2,5.0,2
【芬兰汤】园博园汤山一号&露台烧烤~紫清湖,180,近汤山温泉区,65,4.9,2
南京南站夫子庙MUJI简约4人家庭双大床,183,近卡子门地铁站,4,5.0,4
蓝调艺术设计民宿巴赫影院大床房近禄口机场/S1地铁线,128,近空港新城江宁地铁站,39,4.8,2
【放客民宿3】夫子庙庭院地铁ins风,244,近夫子庙地铁站,47,4.8,4
临近南京南站雨花客厅地铁站口豪华大标间,245,近天隆寺地铁站,7,5.0,4
南京亲灿灿酒店玄武湖湖南路地区特惠大床房,120,近云南路地铁站,87,4.7,2
 近一号线森林动物园高层独立卫浴景观一居,183,近红山动物园地铁站,7,5.0,2
南京南站WitBeauty行政套公寓,185,None,9,5.0,2
【放客民宿16】南京南站投影浴缸,165,近宏运大道地铁站,25,4.7,2
【菲住布客-洛杉矶星河】近商圈和省妇幼温馨私享,187,None,1,5.0,2
大床房 南京南站雨花客厅今日已消毒,158,近天隆寺地铁站,30,5.0,2
【咖居】咖居酒店(南京蒋王庙地铁站店)火车站地区舒适大床房,113,近蒋王庙地铁站,72,4.6,2
南京航印民宿夫子庙地区豪华大床房,160,近夫子庙地铁站,11,4.5,2
【雨栖3】夫子庙新街口地铁旁时尚一居,148,近中华门地铁站,41,5.0,2
「陶陶美兮」南法庄园新街口夫子庙地铁旁,158,近张府园地铁站,14,4.9,2
【放客民宿18】南京南站投影浴缸,152,None,5,4.9,2
南京嘻哈精选酒店公寓徐庄软件园/仙林大学城商圈零压精致大床房,140,近苏宁总部·徐庄地铁站,247,4.8,2
『 薄明之森』新街口德基广场旁 大地色系 朝南 阳光房48平120寸影院民宿,363,None,7,4.9,2
【花漫居】夫子庙老门东玄武湖总统府中山陵,278,近武定门地铁站,5,5.0,3
夫子庙景区/秦淮河畔.蓝调雅筑/地铁口/繁华市里.水游城新街口商圈/包月价格可优惠,178,近夫子庙地铁站,27,4.8,2
堡利云尚公寓(南京南站店)雨花台南京南站地区舒适景观房,176,近花神庙地铁站,409,4.9,2
『花样年华 · 小西几』近夫子庙老门东 直达新街口| IMAX私人影院|穿越90年代复古壁炉大床房,232,None,3,5.0,2
可长/短租【半城烟沙】MAX投影|适合情侣 闺蜜出游|地铁口|步行可至夫子庙 老门东|近新街口,210,None,6,5.0,2
南京上云居公寓新街口地区/市中心悦享iMax豪华投影房,214,None,3,4.9,2
夫子庙武定门地铁三号口温馨女生公寓,160,近武定门地铁站,29,5.0,2
省中医院人民医院妇幼保健院精品民宿公寓,282,近汉中门地铁站,44,4.9,4
夫子庙秦淮河畔毗邻地铁站VIP影院大床房,234,近三山街地铁站,125,4.8,2
TIME时尚影院酒店雨花台南京南站地区豪华巨幕水床房,264,近软件大道地铁站,27,4.8,2
肯定铂金酒店(南京莫愁湖公园店)河西/万达广场/龙江地区商务标准间,180,近莫愁湖地铁站,10,4.9,2
近1号线近商圈,225,None,10,4.7,2
【半城】浮漾俏皮混搭风新街口夫子庙地铁旁,148,近张府园地铁站,11,4.8,2
【叮当家の】近1号线近商圈温馨私享私人影院/投影设备,210,None,4,4.8,3
 【东熙小苑】夫子庙，老门东，总统府，新街口，秦淮河，地铁3号线，温馨两房可住1-6人,257,None,34,5.0,6
花园民宿  海上月大床房（南站玉兰路店）,178,近大明路地铁站,5,4.6,2
惬意飘窗房，宜居2人，下单不退,169,None,4,4.6,2
南京紫荆酒店公寓雨花台南京南站地区寓见三床房,224,近卡子门地铁站,11,4.8,3
梦境之源I轻奢系 IMAX百寸影音双床房(招商花园城ipark公寓）,170,None,1,5.0,4
『几木家』原木风 舒适两室套房 地铁10号线 近南京工业大学  青奥,180,近浦口万汇城地铁站,4,5.0,4
禧樾公寓-两室两厅套房2号可停车,458,近天元西路地铁站,79,4.9,4
北欧简约/ins风影院房/万达广场楼上,182,近河定桥地铁站,11,4.7,2
【云间微漫】夫子庙景区内丨IMAX私人影院丨近地铁近新街口,278,近夫子庙地铁站,80,4.9,2
