民宿标题,价格,地利,评论数,得分,适合居住人数
“春秋”温柔日式Loft/投影免费vip/全身镜/近民政学院/林科大/德思勤#行李寄存#免费洗衣服务,550,None,9,4.8,2
地铁口嘉顿新天地；北欧一室一厅双床房,467,近五一广场地铁站,462,5.0,4
五一广场/民宿/投影/动漫/桌游/国金中心,52,None,63,4.7,1
风情简约巨幕影视房,98,近光达地铁站,7,4.9,2
长沙兰庭小筑酒店高铁南站/国际会展中心商圈简欧轻奢大床房,335,近长沙大道地铁站,129,5.0,2
凤起·灰调双床房 | 五一商圈 | 国金IFS | 解放西路 | 坡子街 | 太平老街 | 黄兴南路,1499,None,4,5.0,2
市中心五一广场地铁口：落地窗简约公寓,1216,近五一广场地铁站,534,4.6,2
新店特惠，沐光，网红点聚集地，九龙仓对面,191,近黄兴广场地铁站,30,5.0,2
长沙橙子家·美宿公寓高铁南站/国际会展中心商圈舒适双床房,168,近杜花路地铁站,42,4.8,4
【悠家】岳麓山风景名胜区月亮岛谷山森林,166,None,7,4.5,2
运达广场 日系民宿温馨风格 近高铁机场,253,近长沙大道地铁站,9,4.8,2
星墅-精选双人房，邻世界之窗、海底世界,208,近广电世界之窗,17,5.0,2
【Sense】 暗黑风格主题民宿前卫大胆 近地铁1号线 距离ifs直线距离400米,253,近黄兴广场地铁站,15,5.0,2
【柒迟-太古】私人影院｜落地窗｜五一广场｜国金中心｜地铁口｜朝南阳光房｜巨幕家庭影院｜免费寄,488,None,5,4.9,4
简白浴缸观景巨幕影院大床房近中医药大学,190,近洋湖湿地公园,21,4.9,2
「野」安德森丨Loft 投影房 可洗衣 万家丽广场 近2号线5号线 高铁站/五一广场/国金中心,298,None,1,5.0,2
【O-W民宿·翠域木竹坞】（天悦店）投影仪/全身镜/靠近梅溪湖/文化艺术中心/览秀城/涉外可寄存行李,198,None,5,4.8,2
【O-W民宿·翠域木竹坞】（天悦店）投影仪/全身镜/靠近梅溪湖/文化艺术中心/览秀城/涉外可寄存行李,198,None,5,4.8,2
长沙长公馆艺术民宿五一广场/IFS国金中心/长沙站微岚大床房,195,近南门口地铁站,51,4.6,2
大财门公寓酒店(长沙湘雅附二店)五一广场/IFS国金中心/长沙站高级大床房,178,近迎宾路口地铁站,533,4.5,2
长沙康鸿精品酒店南城省政府商圈智能标准双人间,105,近中信广场地铁站,3,5.0,2
ins风万象汇/大众传媒/松雅湖/广电,139,近星沙,16,4.9,2
「Feeka.落日飞车」五一广场市中心|地铁1.2号线直达|地铁口300米|水泥风|浴缸投影大床房,414,None,2,5.0,2
黄花机场两居室温馨公寓套房（机场包接送）,227,近机场地铁站,115,5.0,4
【简约】五一广场IFS 巨幕投影大床房,385,近黄兴广场地铁站,20,4.8,4
IFS国金中心五一广场观影大床房,298,近五一广场地铁站,439,5.0,2
省府红星商圈德思勤一室一厅公寓可洗衣做饭,183,近省政府地铁站,51,4.8,2
【域間·简舍】美学空间|巨幕投影|长沙南站|探索系列·适合拍摄,186,None,3,4.6,2
坡子街/步行街/湘江中路地铁口/思梦江南,261,近湘江中路地铁站,20,4.9,2
五一广场IFS国金中心黄兴路步行街ponpon糖&蓝色天空,299,None,9,5.0,2
马上到家•时光机•已消毒/烈士公园/省博物馆/火车站/湘雅附一/贺龙广场/五一广场/岳麓山橘子洲复式,446,None,10,5.0,4
华里酒店(长沙洋湖湿地店)洋湖/大王山度假区高级大床房,260,近友谊路地铁站,392,4.9,2
马上到家•时光机•已消毒/烈士公园/省博物馆/火车站/湘雅附一/贺龙广场/五一广场/岳麓山橘子洲复式,446,None,10,5.0,4
华里酒店(长沙洋湖湿地店)洋湖/大王山度假区高级大床房,260,近友谊路地铁站,392,4.9,2
保利国际广场 湘江边近地铁4号线欧式舒适大床房,240,None,11,5.0,2
五一广场 IFS国金中心 太平街 坡子街 黄兴广场 五一广场地铁1号口投影电影房,310,近五一广场地铁站,189,4.9,2
长沙县新元素酒店式公寓黄花国际机场地区舒适双人间,104,近机场地铁站,133,4.8,2
轻奢影院/湘雅附一/省博物馆,191,近文昌阁地铁站,6,4.8,2
小小温暖旅居,167,None,5,4.9,2
湖景极米投影/松雅湖/大众传媒师范可做饭,139,近星沙,1,5.0,2
【游味】岳麓区近梅溪湖 岳麓山 洋湖湿地公园民宿｜巨幕投影/小度智能/浴缸/院落式/含双早温馨大床房,453,None,8,5.0,2
[十一月民宿]徳思勤／高铁站／网红民宿2,217,近省政府地铁站,15,4.6,2
五一广场近地铁口星月缘海洋哆啦a梦房,208,近黄兴广场地铁站,84,5.0,2
五一广场地铁1号出口温馨灰白大床房,257,近五一广场地铁站,204,4.9,2
【十予Casa】November-绿溪-近金星路地铁口、财专、商学院、汽车西站、梅溪湖、岳麓大学城，,121,None,1,5.0,2
绿野仙踪乳胶床垫智能家居净水器空气净化器,178,近沙湾公园地铁站,12,5.0,2
极米投影房星沙大众传媒万象汇松雅湖广电,181,近星沙,5,5.0,2
极米投影房星沙大众传媒万象汇松雅湖广电,181,近星沙,5,5.0,2
凤起·繁花锦簇大床房 | 五一商圈 | 国金IFS | 解放西 | 坡子街 | 太平老街 | 黄兴路,374,None,46,4.9,2
【不期而遇·留白】五一广场江景房北欧简约,315,近五一广场地铁站,31,4.9,2
墨客小筑酒店(长沙县松雅湖南地铁站店)星沙经济开发区商圈江南·悠然大床房,156,近星沙,169,4.8,2
IFS国金中心五一广场夜宿&晨雨观景,328,近五一广场地铁站,39,4.9,2
【浩萌民宿•可做饭•可短租/月租】已消毒/地中海•新小三居室/高铁南站/南雅中学/地铁站/五一广场,341,None,8,5.0,5
【长岛加冰】/近五一广场/贺龙体育馆/东塘瑞府/投影设备简约风/3号地铁线、落地大窗,320,None,10,4.9,2
长沙新铭酒店五一广场/IFS国金中心/长沙站豪华双人间,170,近袁家岭地铁站,12,4.8,2
【沁园春】火车站对面/豪华大床/巨幕投影,303,近长沙火车站地铁站,15,5.0,2
可做饭ins小清新大众传媒万象汇松雅湖,151,近星沙,4,5.0,2
【冬至】投影大幕/五一广场/黄兴步行街,377,近黄兴广场地铁站,7,5.0,4
精艺雅舍 观星楼【五一广场/步行街】,361,近黄兴广场地铁站,22,4.9,3
长沙伊恋艺术主题酒店德思勤城市广场商圈舒适大床房,119,近桂花坪地铁站,8,5.0,2
IFS国金五一广场步行街宿兮&莫兰迪初心投影房,299,None,101,4.9,2
